,target_vol_21d
target_vol_21d,1.0
vix_level,0.5447204945931137
vol_garman_klass,0.48590489105003615
vol_rolling_21d,0.4722219034763133
qqq_vol_21d,0.44749096668337807
vix_5d_trend,0.24625652074847612
amihud_ratio,0.23091005574036247
prepped_neutral,0.15144266554339408
debt_to_asset,0.1339988197415778
vol_surge,0.11069168178681645
days_since_filing,0.0519052215190532
days_since_earnings,0.04980129664487005
msft_vs_tech,0.0206932382745387
qa_neutral,0.015393120424157539
msft_vs_market,0.014684320635470297
sec_dispersion,0.01150351121347358
roa,-0.019496337735856614
yield_10y_delta_5d,-0.05529928885123611
msft_return,-0.06837112764481104
prepped_dispersion,-0.09320106521831759
qqq_return,-0.0932237896032962
qa_sentiment,-0.09546966349387226
sec_sentiment,-0.10075804533105408
spy_return,-0.11261858719450117
net_income_qoq,-0.14474820814383185
prepped_sentiment,-0.1571922772443851
sec_neutral,-0.16081482928646054
yield_10y_level,-0.16411833150393004
qa_dispersion,-0.20105576452768587
dist_from_ma200,-0.2087473080970996
fcf_margin,-0.23584034746561422
cash_coverage,-0.2553783750496798
