,count,mean,std,min,25%,50%,75%,max,missing_pct,skew,kurtosis
msft_return,1475.0,0.00093919325210316,0.01845607525868549,-0.1473904996116877,-0.0079980841265554,0.0011006196504101,0.0106996968740773,0.1421691542932219,0.0,-0.04384838949779716,7.3264418615078375
roa,1475.0,0.045683793139294486,0.006380886748943537,0.0334585480912029,0.0411925288372454,0.0464767361302963,0.0493080751035865,0.0611326762427776,0.0,-0.050619134958783424,0.16467615254278423
cash_coverage,1475.0,0.1095155659656128,0.02836709963126708,0.061587732063324,0.0802769316636681,0.1184101443759091,0.1358815662613131,0.1526349482530797,0.0,-0.24883142231024663,-1.361661454089322
debt_to_asset,1475.0,0.5441765426184527,0.0568161154596479,0.4330471363443953,0.4976409401127959,0.5435204473193729,0.5988740545596587,0.6396853551908417,0.0,0.0840274982330188,-1.095664615338145
fcf_margin,1475.0,0.3126997316521409,0.093694154833423,0.0928773200371585,0.2936189677517725,0.3522707574969665,0.3662345857544763,0.4133106781119668,0.0,-1.1361144053892394,-0.02039317692639564
net_income_qoq,1475.0,0.052356034985023545,0.09485162968880606,-0.1085531574740208,-0.0003880230226993,0.0461995249406175,0.1130065500611818,0.2458986511119212,0.0,0.3640891271772072,-0.4042700253409244
sec_sentiment,1475.0,-0.4175282859762929,0.05193675626556811,-0.5251683760281713,-0.4419107562380618,-0.4099689159019474,-0.3885297707550354,-0.2633419643877254,0.0,0.48956931631755446,1.5138898577820576
sec_neutral,1475.0,0.306385019957786,0.024883599992629814,0.2616455446872295,0.2928118238256114,0.3003198924917178,0.325403087772429,0.3622379466368441,0.0,0.19925997711997037,-0.2674735493230611
sec_dispersion,1475.0,0.5244321135280756,0.04799550510554025,0.4368642215191926,0.4926845070451752,0.5293116138285091,0.5536560151516299,0.635401204916984,0.0,0.16085053477863573,-0.10665653165196032
prepped_sentiment,1475.0,0.40439246088168596,0.08145017441905605,0.283917843297656,0.3447294057036439,0.3839387495399398,0.4718770510206619,0.5406604433121781,0.0,0.06203852053430398,-1.2234576489757683
prepped_dispersion,1475.0,0.25408466996535783,0.03164474687984168,0.1867797623040712,0.23420736929096,0.2563163261194117,0.2794299451074415,0.3118041217899033,0.0,-0.29125099212599814,-0.5437351030796669
prepped_neutral,1475.0,0.5709702851095623,0.08087814992858426,0.4327554896473884,0.5015008389949799,0.5932343830080593,0.6306705276171366,0.6882133552661309,0.0,-0.08656360146619858,-1.2162603213439076
qa_sentiment,1475.0,0.19330064729784674,0.05763648124746716,0.1016979552361936,0.1489786545691244,0.1944114817306399,0.2354057610132977,0.3350399272320302,0.0,0.45372689124758836,-0.2681096460422685
qa_dispersion,1475.0,0.16714129711402145,0.05526182988976688,0.0693437840707088,0.1293434909003865,0.1599299583621406,0.2095098290353295,0.2968430512602294,0.0,0.1956464374896694,-0.40000148972244887
qa_neutral,1475.0,0.7567551808465701,0.054075079991685995,0.6226341806744274,0.7238170532953172,0.7548810267134717,0.8045151356388541,0.8520053454807827,0.0,-0.27592377818994757,-0.12279358146104213
days_since_earnings,1475.0,44.75254237288136,26.730940888624062,0.0,21.0,44.0,68.0,97.0,0.0,0.05528812638663931,-1.1800435435797143
days_since_filing,1475.0,44.86101694915254,26.73263913074346,0.0,21.0,44.0,68.0,98.0,0.0,0.054119929525496595,-1.1783778272161944
qqq_return,1475.0,0.0007717263928668217,0.015517224067003788,-0.1197878508393407,-0.0068315229884437,0.0012711619718281,0.009421065584766249,0.0847055480862926,0.0,-0.3879681517917059,5.667598494749133
spy_return,1475.0,0.0005767589706998586,0.012632583886997256,-0.1094236450865644,-0.0049158948692251,0.0008536439858355,0.00689344698746615,0.090603284812722,0.0,-0.5604994771455633,11.98035991185009
msft_vs_tech,1475.0,0.00016746685923633734,0.008926188925346249,-0.0660713479428558,-0.00446699022811285,-0.0001838342741933,0.004277736063195901,0.0663702068238552,0.0,0.31911525735539426,9.212090471206597
msft_vs_market,1475.0,0.0003624342814032994,0.010950528569052015,-0.0696221590960539,-0.0055254170217931,-3.060694617640358e-05,0.00556110107693175,0.0766707958745674,0.0,0.12978344133599012,5.63971131476979
vix_level,1475.0,20.604562728364588,7.954167615623093,11.539999961853027,15.224999904632568,18.709999084472656,23.84500026702881,82.69000244140625,0.0,2.6369245414346296,12.166632837777339
vix_5d_trend,1475.0,0.04196610337596829,4.0333347492541805,-21.10000228881836,-1.6000013351440439,-0.1999998092651349,1.4349994659423828,35.85000228881836,0.0,1.4569695889359533,12.861810038421194
yield_10y_level,1475.0,2.6541362703856777,1.35879537867988,0.4990000128746032,1.5170000195503235,2.5309998989105225,3.9804999828338623,4.98799991607666,0.0,0.012340687714453307,-1.5249775927854887
yield_10y_delta_5d,1475.0,0.005976948657278283,0.13264412595351052,-0.5890000462532043,-0.0659999847412109,0.0050001144409179,0.0864999890327452,0.5110001564025879,0.0,-0.23915963642606047,0.8632011459232194
vol_rolling_21d,1475.0,0.2639481718465591,0.13235399483055404,0.0858380933338457,0.1866773366114033,0.2405032040546813,0.3100029086932481,1.1275961969704416,0.0,3.4413871740658553,17.75382894061239
qqq_vol_21d,1475.0,0.21847250126556678,0.11436953213483748,0.0673185556650745,0.1500774725164309,0.1915505530762281,0.264499850163312,0.9172886708013142,0.0,2.817033709558209,12.623767629633189
vol_garman_klass,1475.0,0.1964868552370931,0.07542404417188328,0.0944531656495508,0.15016672999725889,0.1769212373055845,0.22806048929430855,0.6746220006470894,0.0,3.1125858468008745,15.189568548154764
vol_surge,1475.0,1.006614144066412,0.32876423597431365,0.3045676925596578,0.7966266660186518,0.9263433390457754,1.1320548827831036,2.998862080924108,0.0,1.8551302341996159,5.533897656863565
amihud_ratio,1475.0,1.8332304391415043e-06,1.556981509315088e-06,0.0,6.434225554284998e-07,1.4571027456476184e-06,2.5891052618317434e-06,1.3034301094908344e-05,0.0,1.5029628041821685,3.499749828700608
dist_from_ma200,1475.0,0.09914353536460417,0.11083036871822576,-0.2078044214453687,0.01955442845882235,0.1294183019784103,0.17762096171029826,0.3269621701840433,0.0,-0.6583662526421006,-0.31385467767962805
target_vol_21d,1475.0,0.26466027439920226,0.13236350672822522,0.0858380933338465,0.18701702882007815,0.2421752356877827,0.3102004224300851,1.1275961969704416,0.0,3.428938272100912,17.677002009583077
